neuron,category,formula,threshold
0,(object-X OR object-X OR object),(counter-X OR bar-X OR work surface),5.1
1,((part-X CLOSE object) OR scene),((shop window-X CLOSE building) OR pantry-s),5.0
2,((object-X CLOSE TO color-X) OR scene),((sea-X CLOSE TO green-c-X) OR marsh-s),4.6
3,((scene OR object-X) CLOSE object-X),((auditorium-s OR silver screen-X) CLOSE wall-X),4.6
4,((scene OR object-X) CLOSE object),((dining room-s OR wall-X) CLOSE chandelier),5.4
5,(object-X OR scene OR scene),(toilet-X OR slum-s OR pantry-s),4.4
6,(scene OR object-X OR object-X),(gazebo-exterior-s OR tent-X OR dome-X),4.8
7,(object-X OR scene OR scene),(vineyard-X OR orchard-s OR corn field-s),3.7
8,((object-X CLOSE TO object-X) OR scene),((plant-X CLOSE TO wall-X) OR greenhouse-indoor-s),4.6
9,((object AND color) OR scene),((grass AND green-c) OR ball pit-s),4.4
10,(scene CLOSE TO object & object),(highway-s CLOSE TO road & sky),4.4
11,((object AND color-X) OR scene),((person AND black-c-X) OR booth-indoor-s),3.5
12,((scene CLOSE object) OR scene),((dining room-s CLOSE table) OR fire escape-s),4.1
13,(scene OR object-X OR scene),(islet-s OR canopy-X OR cavern-indoor-s),4.1
14,(object-X OR scene OR object),(fence-X OR boxing ring-s OR grandstand),5.2
15,(scene OR scene OR object-X),(operating room-s OR hospital room-s OR cradle-X),5.4
16,(object-X OR object-X OR object-X),(court-X OR windmill-X OR ring-X),3.9
17,((scene OR scene) CLOSE object),((conference room-s OR auditorium-s) CLOSE wall),5.3
18,(scene OR scene OR object),(badlands-s OR forest-needleleaf-s OR slot machine),4.3
19,(object-X OR scene OR material-X),(case-X OR bakery-shop-s OR food-X),4.3
20,(object OR part-X OR scene),(house OR roof-X OR zen garden-s),4.4
21,(object-X OR scene OR scene),(bookcase-X OR fire station-s OR videostore-s),4.3
22,(object-X OR object-X OR scene),(bridge-X OR river-X OR rope bridge-s),5.4
23,((scene CLOSE object-X) OR scene),((kitchen-s CLOSE oven-X) OR galley-s),5.2
24,(object-X CLOSE (object-X OR object-X)),(fireplace-X CLOSE (wall-X OR buffet-X)),6.8
25,((scene CLOSE object-X) OR scene),((corridor-s CLOSE floor-X) OR sauna-s),5.0
26,(object-X OR object-X OR scene),(pillar-X OR aqueduct-X OR viaduct-s),4.1
27,(scene OR part-X OR scene),(cockpit-s OR wave-X OR viaduct-s),3.1
28,(scene OR scene OR scene),(alley-s OR medina-s OR kasbah-s),5.1
29,(object OR object-X OR scene),(house OR porch-X OR inn-outdoor-s),6.2
30,(scene OR scene OR scene),(balcony-interior-s OR dinette-home-s OR control tower-indoor-s),5.5
31,(object-X OR object),(pool table-X OR arcade machine),4.6
32,((color OR scene) AND NOT color-X),((red-c OR fire station-s) AND NOT orange-c-X),4.4
33,(scene OR scene OR scene),(badlands-s OR desert-sand-s OR oasis-s),4.4
34,(object-X CLOSE TO object & color),(bed-X CLOSE TO wall & brown-c),5.6
35,(object-X OR object-X OR object-X),(sand-X OR tent-X OR caravan-X),4.6
36,(object-X OR object-X OR object-X),(boat-X OR ship-X OR aircraft carrier-X),4.5
37,(scene OR scene OR scene),(corridor-s OR airplane cabin-s OR subway interior-s),4.2
38,(scene OR object-X OR scene),(bullring-s OR lighthouse-X OR fairway-s),3.9
39,((object-X CLOSE TO object-X) OR object-X),((bed-X CLOSE TO windowpane-X) OR pool table-X),5.0
40,(object-X OR scene OR object),(pool table-X OR cockpit-s OR lockers),4.1
41,(scene OR object-X OR object-X),(butchers shop-s OR rubble-X OR meat-X),3.9
42,((object OR object) CLOSE TO object),((bed OR pillow) CLOSE TO wall),11.4
43,(scene OR object-X OR scene),(playground-s OR inflatable bounce game-X OR sandbox-s),4.5
44,(object-X OR object-X OR object-X),(washer-X OR waterfall-X OR trench-X),4.8
45,((object OR part-X) CLOSE TO object-X),((house OR roof-X) CLOSE TO sky-X),4.9
46,(object-X OR object OR object-X),(pool table-X OR washer OR bowling alley-X),4.5
47,(object-X OR object-X OR part-X),(pool table-X OR tennis court-X OR crosswalk-X),5.0
48,((object-X OR part-X) CLOSE object-X),((sink-X OR lid-X) CLOSE wall-X),5.4
49,((object-X CLOSE TO object-X) OR scene),((table-X CLOSE TO chair-X) OR banquet hall-s),4.7
50,(scene OR scene OR object),(cemetery-s OR mausoleum-s OR hovel),3.6
51,((scene CLOSE object) OR object-X),((reception-s CLOSE counter) OR ticket counter-X),4.8
52,(scene OR scene OR scene),(forest-broadleaf-s OR forest path-s OR forest road-s),5.3
53,(scene OR object-X OR object),(sauna-s OR pier-X OR hovel),4.7
54,((scene OR scene) CLOSE object),((airport terminal-s OR shopping mall-indoor-s) CLOSE wall),4.7
55,(scene OR object-X OR scene),(kasbah-s OR ruins-X OR medina-s),4.3
56,((object-X OR object-X) CLOSE TO scene),((chair-X OR table-X) CLOSE TO dining room-s),6.3
57,(scene OR object-X OR scene),(excavation-s OR trench-X OR sandbox-s),4.3
58,(scene OR scene OR object-X),(closet-s OR gas station-s OR telephone booth-X),4.3
59,(object-X OR object-X OR scene),(plane-X OR helicopter-X OR galley-s),3.8
60,(scene OR object-X OR scene),(locker room-s OR screen door-X OR fitting room-interior-s),5.2
61,(object-X OR object-X OR scene),(helicopter-X OR plane-X OR arch-s),4.0
62,(object-X OR scene OR object-X),(field-X OR marsh-s OR bush-X),4.8
63,(scene OR scene OR scene),(boxing ring-s OR wrestling ring-indoor-s OR catwalk-s),3.8
64,(object-X OR object-X OR object),(pool table-X OR arcade machine-X OR slot machine),4.9
65,(scene OR object-X OR object-X),(hospital-s OR fountain-X OR ice rink-X),4.3
66,(scene OR scene OR scene),(bus interior-s OR youth hostel-s OR dinette-vehicle-s),4.6
67,(scene OR scene OR scene),(park-s OR playground-s OR volleyball court-outdoor-s),4.8
68,(scene OR scene OR scene),(classroom-s OR lecture room-s OR cafeteria-s),4.6
69,(scene OR scene OR scene),(shed-s OR outhouse-outdoor-s OR elevator-door-s),4.5
70,((object-X CLOSE TO object-X) OR scene),((bed-X CLOSE TO wall-X) OR ball pit-s),4.7
71,(scene OR part-X OR object-X),(lobby-s OR balcony-X OR slot machine-X),4.5
72,(object OR scene OR scene),(water OR classroom-s OR marsh-s),3.5
73,((object AND color-X) OR object-X),((mountain AND blue-c-X) OR railroad train-X),3.5
74,((object-X CLOSE TO object-X) OR scene),((building-X CLOSE TO grass-X) OR formal garden-s),5.1
75,((object-X CLOSE TO object-X) OR scene),((grass-X CLOSE TO sky-X) OR jail cell-s),4.2
76,(scene OR scene OR scene),(car interior-backseat-s OR catwalk-s OR rope bridge-s),3.7
77,(object-X OR scene OR scene),(sea-X OR industrial area-s OR harbor-s),3.7
78,(object-X OR scene OR scene),(hedge-X OR topiary garden-s OR hedge maze-s),5.0
79,(scene OR scene OR object-X),(supermarket-s OR assembly line-s OR stands-X),3.7
80,((object-X OR object) CLOSE object-X),((runway-X OR road) CLOSE sky-X),5.3
81,(scene OR scene OR object-X),(gazebo-exterior-s OR temple-east asia-s OR canopy-X),3.9
82,(object-X OR scene OR scene),(computer-X OR home theater-s OR television studio-s),3.6
83,(object-X OR scene OR object-X),(case-X OR classroom-s OR bar-X),3.8
84,(object-X OR object OR scene),(escalator-X OR skyscraper OR rope bridge-s),4.1
85,(object OR scene OR scene),(house OR jail cell-s OR jail-indoor-s),4.8
86,((object CLOSE TO color-X) WITH object-X),((building CLOSE TO blue-c-X) WITH road-X),3.7
87,(scene OR scene OR object-X),(alley-s OR corridor-s OR dirt track-X),5.2
88,(object-X OR object-X OR scene),(fountain-X OR waterfall-X OR fountain-s),4.7
89,((object-X CLOSE TO object-X) OR object-X),((mountain-X CLOSE TO sky-X) OR waterfall-X),4.6
90,(scene OR scene OR scene),(carrousel-s OR auto factory-s OR kennel-indoor-s),4.4
91,((object-X OR scene) CLOSE object),((tent-X OR pasture-s) CLOSE grass),4.2
92,((object-X OR object-X) CLOSE TO object),((road-X OR bridge-X) CLOSE TO sky),4.7
93,((object-X CLOSE TO object) OR scene),((tree-X CLOSE TO grass) OR zen garden-s),4.8
94,((object-X OR object) AND color),((plant-X OR field) AND green-c),4.2
95,(object-X OR scene OR scene),(pool table-X OR sandbox-s OR cheese factory-s),3.8
96,(object-X OR object-X OR scene),(court-X OR tennis court-X OR volleyball court-outdoor-s),5.0
97,(scene OR scene OR object-X),(carrousel-s OR gazebo-exterior-s OR water tower-X),3.8
98,(scene OR object-X OR scene),(cockpit-s OR tower-X OR bank vault-s),4.0
99,(object-X OR scene OR object-X),(dome-X OR arch-s OR tunnel-X),4.6
100,(scene CLOSE TO object & object),(bathroom-s CLOSE TO sink & wall),4.9
101,(scene CLOSE (object-X OR object)),(bathroom-s CLOSE (toilet-X OR bathtub)),5.0
102,((scene OR scene) CLOSE object-X),((corridor-s OR subway interior-s) CLOSE ceiling-X),5.4
103,(object-X OR object-X OR part-X),(cradle-X OR autobus-X OR fire escape-X),4.6
104,((object-X CLOSE TO object-X) OR object-X),((sea-X CLOSE TO sky-X) OR waterfall-X),5.0
