neuron,category,formula,threshold
0,(object-X OR object-X OR object),(counter-X OR bar-X OR work surface),5.1
1,((object CLOSE TO part-X) OR object),((building CLOSE TO shop window-X) OR pantry),5.0
2,((object-X CLOSE TO color) OR object-X),((sea-X CLOSE TO green-c) OR lake-X),4.6
3,((object-X OR object-X) CLOSE object-X),((silver screen-X OR stage-X) CLOSE wall-X),4.6
4,(object CLOSE TO (part-X OR scene)),(building CLOSE TO (column-X OR courthouse-s)),5.4
5,(object-X OR object-X OR object-X),(toilet-X OR box-X OR rubbish-X),4.4
6,(object OR object-X OR object-X),(tent OR bandstand-X OR dome-X),4.8
7,(object-X OR scene OR scene),(vineyard-X OR orchard-s OR corn field-s),3.7
8,((object CLOSE TO object-X) OR object),((plant CLOSE TO wall-X) OR greenhouse),4.6
9,((object AND color) OR object),((grass AND green-c) OR ball),4.4
10,((scene AND object-X) CLOSE TO color-X),((highway-s AND road-X) CLOSE TO blue-c-X),4.4
11,((object AND color-X) OR part-X),((person AND black-c-X) OR torso-X),3.5
12,((object-X AND scene) OR part-X),((table-X AND dining room-s) OR fire escape-X),4.1
13,((object-X CLOSE object-X) OR object-X),((rock-X CLOSE sea-X) OR canopy-X),4.1
14,(object-X OR object OR object-X),(fence-X OR grandstand OR ring-X),5.2
15,((object-X OR object-X) CLOSE TO object-X),((bed-X OR cradle-X) CLOSE TO wall-X),5.4
16,(object-X OR object-X OR object-X),(windmill-X OR court-X OR ring-X),3.9
17,((scene AND object-X) CLOSE TO object),((conference room-s AND wall-X) CLOSE TO table),5.3
18,(object OR object OR object),(car OR badlands OR slot machine),4.3
19,(object-X OR material-X OR object-X),(case-X OR food-X OR patty-X),4.3
20,((object OR part-X) CLOSE TO object-X),((house OR roof-X) CLOSE TO tree-X),4.4
21,(object-X OR object OR part-X),(book-X OR bookcase OR garage door-X),4.3
22,(object-X OR object-X OR object),(bridge-X OR river-X OR aqueduct),5.4
23,(object-X CLOSE TO (object-X OR object)),(wall-X CLOSE TO (stove-X OR work surface)),5.2
24,((object-X AND NOT object) CLOSE object-X),((fireplace-X AND NOT wall) CLOSE wall-X),6.8
